T;Component;Tc;Pc;rhoc;uc;beta 1K;beta 2;delta;L;phi;
3;51;546.422;4.0955;3751.57;0.0288441;0.388569;0.325089;3.32568;6.15E-10;1;
3;51;546.822;4.12849;3789.21;0.0288879;0.4346;0.340696;3.21625;6.18E-10;1;
3;51;547.225;4.16154;3814.3;0.0289318;0.46926;0.357215;3.15375;6.20E-10;1;
3;51;547.629;4.19447;3839.4;0.0289758;0.4917;0.374105;3.10632;6.23E-10;1;
3;51;548.03;4.22694;3845.67;0.0290193;0.503295;0.390318;3.0858;6.25E-10;1;
3;51;548.428;4.25896;3858.22;0.0290625;0.50892;0.405535;3.0661;6.28E-10;1;
3;51;548.823;4.29054;3864.49;0.0291052;0.511954;0.419583;3.05061;6.30E-10;1;
3;51;549.213;4.3215;3870.77;0.0291473;0.512756;0.432075;3.04086;6.33E-10;1;
3;51;549.598;4.35185;3870.77;0.0291889;0.512523;0.443132;3.03377;6.35E-10;1;
3;51;549.978;4.38159;3877.04;0.0292298;0.511982;0.452841;3.02515;6.38E-10;1;
3;51;550.353;4.41074;3877.04;0.0292701;0.511521;0.461335;3.01957;6.40E-10;1;
3;51;550.722;4.43921;3883.31;0.0293098;0.510554;0.468498;3.01541;6.43E-10;1;
3;51;551.086;4.4671;3877.04;0.0293488;0.510029;0.474809;3.01168;6.45E-10;1;
3;51;551.444;4.49433;3877.04;0.0293871;0.509237;0.480179;3.00874;6.48E-10;1;
3;51;551.797;4.52098;3877.04;0.0294249;0.509029;0.484862;3.00505;6.50E-10;1;
3;51;552.143;4.54689;3877.04;0.0294619;0.507757;0.488523;3.00416;6.53E-10;1;
3;51;552.484;4.57225;3870.77;0.0294983;0.507088;0.491797;3.00351;6.55E-10;1;
3;51;552.82;4.59706;3870.77;0.0295341;0.506979;0.49469;3.00077;6.58E-10;1;
3;51;553.15;4.62123;3864.49;0.0295692;0.506602;0.49698;2.99958;6.60E-10;1;
3;51;553.474;4.64477;3864.49;0.0296036;0.505926;0.498898;2.99858;6.63E-10;1;
3;51;553.793;4.66779;3864.49;0.0296375;0.505711;0.50061;2.99707;6.65E-10;1;
3;51;554.106;4.69018;3858.22;0.0296707;0.5051;0.501844;2.99698;6.68E-10;1;
3;51;554.414;4.71206;3851.94;0.0297033;0.504865;0.503032;2.99661;6.70E-10;1;
3;51;554.716;4.73332;3851.94;0.0297353;0.504131;0.503787;2.99647;6.73E-10;1;
3;51;555.013;4.75408;3845.67;0.0297667;0.503673;0.504548;2.99653;6.75E-10;1;
3;51;555.305;4.77433;3845.67;0.0297975;0.503431;0.505204;2.99587;6.78E-10;1;
3;51;555.592;4.79408;3839.4;0.0298278;0.503335;0.50564;2.99549;6.80E-10;1;
3;51;555.874;4.81333;3839.4;0.0298575;0.503346;0.506118;2.99475;6.83E-10;1;
3;51;556.151;4.83209;3826.85;0.0298867;0.503377;0.50637;2.99489;6.85E-10;1;
3;51;556.423;4.85036;3826.85;0.0299153;0.503399;0.506694;2.99407;6.88E-10;1;
3;51;556.689;4.86806;3820.58;0.0299432;0.502548;0.506612;2.9954;6.90E-10;1;
3;51;556.951;4.88537;3820.58;0.0299707;0.50234;0.506786;2.99525;6.93E-10;1;
3;51;557.209;4.90229;3814.3;0.0299977;0.50275;0.506878;2.99455;6.95E-10;1;
3;51;557.461;4.91865;3808.03;0.0300241;0.502081;0.506787;2.99566;6.98E-10;1;
3;112;574;4.67E-09;0;0.00467347;nan;nan;nan;5.00E-10;1;
3;112;574;4.67E-09;0;0.00467352;nan;nan;nan;5.03E-10;1;
3;112;574;4.67E-09;0;0.00467357;nan;nan;nan;5.05E-10;1;
3;112;574;4.67E-09;0;0.00467362;nan;nan;nan;5.08E-10;1;
3;112;574;4.67E-09;0;0.00467367;nan;nan;nan;5.10E-10;1;
3;112;574;4.67E-09;0;0.00467372;nan;nan;nan;5.13E-10;1;
3;112;574;4.67E-09;0;0.00467377;nan;nan;nan;5.15E-10;1;
3;109;639;2.99E-09;0;0.00298748;nan;nan;nan;6.00E-10;1;
3;109;639;2.99E-09;0;0.00298753;nan;nan;nan;6.03E-10;1;
3;109;639;2.99E-09;0;0.00298757;nan;nan;nan;6.05E-10;1;
3;109;639;2.99E-09;0;0.00298762;nan;nan;nan;6.08E-10;1;
3;109;639;2.99E-09;0;0.00298766;nan;nan;nan;6.10E-10;1;
3;51;563.64;5.27033;3676.29;0.0306629;0.499406;0.501164;3.01004;7.80E-10;1;
3;118;562.982;4.83866;3794.81;0.0301495;0.50342;0.514045;2.98078;6.70E-10;1;
3;118;563.294;4.85761;3794.81;0.0301808;0.503419;0.513829;2.98092;6.73E-10;1;
3;118;563.6;4.87602;3782.45;0.0302116;0.503154;0.513492;2.98189;6.75E-10;1;
3;48;512.661;6.2766;6057.83;0.0291412;0.446925;0.360943;3.22946;5.45E-10;1;
3;48;513.007;6.31916;6078.19;0.0291793;0.468206;0.37463;3.1844;5.47E-10;1;
3;48;511.812;6.17123;5884.75;0.0290472;0.372145;0.329584;3.49372;5.40E-10;1;
3;48;512.146;6.21283;5966.2;0.0290843;0.40324;0.341157;3.36003;5.42E-10;1;
3;48;512.488;6.25523;6027.29;0.0291221;0.433326;0.354124;3.26543;5.44E-10;1;
3;48;512.834;6.29791;6068.01;0.0291603;0.458494;0.367844;3.20216;5.46E-10;1;
3;48;513.18;6.34036;6098.55;0.0291984;0.476305;0.381403;3.1622;5.48E-10;1;
3;48;510.645;6.01906;5090.61;0.0289117;0.47561;0.33727;3.11371;5.30E-10;1;
3;48;510.798;6.04092;5192.43;0.0289309;0.406452;0.324589;3.15877;5.32E-10;1;
3;48;510.984;6.06611;5324.78;0.0289533;0.359187;0.317242;3.37455;5.34E-10;1;
3;48;511.214;6.09596;5528.41;0.02898;0.34;0.315688;3.67004;5.36E-10;1;
3;48;511.495;6.13153;5742.21;0.0290118;0.347372;0.320364;3.6799;5.38E-10;1;
3;48;511.812;6.17123;5884.75;0.0290472;0.372145;0.329584;3.49372;5.40E-10;1;
3;48;512.146;6.21283;5966.2;0.0290843;0.40324;0.341157;3.36003;5.42E-10;1;
3;48;512.488;6.25523;6027.29;0.0291221;0.433326;0.354124;3.26543;5.44E-10;1;
3;48;512.834;6.29791;6068.01;0.0291603;0.458494;0.367844;3.20216;5.46E-10;1;
3;48;513.18;6.34036;6098.55;0.0291984;0.476305;0.381403;3.1622;5.48E-10;1;
3;48;513.526;6.3826;6129.1;0.0292364;0.488935;0.394801;3.1292;5.50E-10;1;
3;48;513.869;6.42423;6139.28;0.029274;0.496238;0.407288;3.10622;5.52E-10;1;
3;48;514.21;6.4654;6159.64;0.0293114;0.501082;0.418916;3.08852;5.54E-10;1;
3;48;514.548;6.50596;6169.82;0.0293483;0.504117;0.429653;3.07399;5.56E-10;1;
3;48;514.882;6.54581;6180;0.0293848;0.505521;0.439273;3.06293;5.58E-10;1;
3;48;515.213;6.58508;6169.82;0.0294209;0.506829;0.447908;3.05532;5.60E-10;1;
3;48;515.539;6.62351;6180;0.0294565;0.506856;0.455507;3.04751;5.62E-10;1;
3;48;515.861;6.66123;6180;0.0294915;0.506716;0.462225;3.04225;5.64E-10;1;
3;48;516.179;6.69826;6190.19;0.0295261;0.50664;0.468102;3.03661;5.66E-10;1;
3;48;516.493;6.73461;6190.19;0.0295602;0.506748;0.473352;3.03137;5.68E-10;1;
3;48;516.802;6.77014;6190.19;0.0295937;0.506326;0.477885;3.02784;5.70E-10;1;
3;48;517.107;6.805;6190.19;0.0296268;0.506246;0.481807;3.02392;5.72E-10;1;
3;48;517.407;6.83906;6190.19;0.0296593;0.505728;0.48523;3.02138;5.74E-10;1;
3;48;517.703;6.87247;6190.19;0.0296913;0.505589;0.488162;3.01835;5.76E-10;1;
3;48;517.994;6.90508;6180;0.0297227;0.505038;0.490705;3.01684;5.78E-10;1;
3;48;518.281;6.93705;6180;0.0297537;0.504879;0.492993;3.01442;5.80E-10;1;
3;48;518.563;6.96824;6180;0.0297841;0.504279;0.494753;3.01321;5.82E-10;1;
3;48;518.841;6.99879;6180;0.029814;0.504031;0.496436;3.01158;5.84E-10;1;
3;48;519.115;7.02872;6169.82;0.0298435;0.5041;0.497805;3.00998;5.86E-10;1;
3;48;519.384;7.05789;6169.82;0.0298724;0.503664;0.49903;3.00905;5.88E-10;1;
3;48;519.649;7.08644;6159.64;0.0299009;0.503484;0.499999;3.0084;5.90E-10;1;
3;48;519.91;7.11438;6149.46;0.0299289;0.50354;0.500987;3.00751;5.92E-10;1;
3;48;520.166;7.14158;6149.46;0.0299563;0.502974;0.501527;3.00704;5.94E-10;1;
3;48;520.419;7.16831;6149.46;0.0299834;0.503373;0.502345;3.00509;5.96E-10;1;
3;48;520.667;7.19431;6149.46;0.03001;0.503065;0.502762;3.00467;5.98E-10;1;
3;48;510.984;6.06611;5324.78;0.0289533;0.359187;0.317242;3.37455;5.34E-10;1;
3;48;511.037;6.07308;5375.69;0.0289595;0.351819;0.316286;3.46174;5.35E-10;1;
3;48;511.093;6.08038;5416.41;0.028966;0.34624;0.315704;3.52916;5.35E-10;1;
3;48;511.152;6.08801;5477.5;0.0289728;0.342333;0.315507;3.60623;5.36E-10;1;
3;48;511.214;6.09596;5528.41;0.02898;0.34;0.315688;3.67004;5.36E-10;1;
3;48;511.28;6.10437;5589.49;0.0289875;0.339769;0.316399;3.70157;5.37E-10;1;
3;48;511.349;6.11312;5650.58;0.0289953;0.341018;0.317394;3.72032;5.37E-10;1;
3;48;511.421;6.12221;5701.49;0.0290034;0.343746;0.318769;3.70282;5.38E-10;1;
3;48;511.495;6.13153;5742.21;0.0290118;0.347372;0.320364;3.6799;5.38E-10;1;
3;48;511.572;6.1412;5782.94;0.0290204;0.352553;0.322371;3.63593;5.39E-10;1;
3;48;511.651;6.1511;5823.66;0.0290292;0.358715;0.324621;3.58058;5.39E-10;1;
3;48;511.731;6.16111;5854.2;0.0290382;0.365251;0.326989;3.54059;5.40E-10;1;
1;123;190.6;4.60397;8718.33;0.011992;0;0;3.01918;0;0;
1;123;190.6;4.60397;8718.33;0.011992;0;0;3.01918;0;0;
1;123;190.6;4.60397;8718.33;0.011992;0;0;3.01918;0;0;
1;123;190.6;4.60397;8718.33;0.011992;0;0;3.01918;0;0;
1;123;190.6;4.60397;8718.33;0.011992;0;0;3.01918;0;0;
1;123;190.6;4.60397;8718.33;0.011992;0;0;3.01918;1.00E+10;0.5;
1;123;210.4;4.54393;7795.47;0.013042;0;0;3.03146;1.00E+10;0.5;
1;123;229.22;4.4765;7049.28;0.0140168;0;0;3.04392;1.00E+10;0.5;
1;123;247.16;4.4053;6433.46;0.014926;0;0;3.03748;1.00E+10;0.5;
1;123;264.3;4.33206;5916.6;0.015777;0;0;3.0414;1.00E+10;0.5;
