Density;f;f0;u;P;u_0;P_0;T;;;;;;
216.8836554;-58.82067746;-56.72136275;-0.013532294;8.322855546;-0.013305499;7.069861823;13820935.95;0;;;;0;
218.490201;-59.19461084;-57.08910383;-0.013523301;8.35653868;-0.013302049;7.082784554;13820935.95;0;;;;0;
220.0967466;-59.56829722;-57.45675029;-0.013514422;8.390038885;-0.013298652;7.095599864;13820935.95;0;;;;0;
221.7032921;-59.94173971;-57.82430355;-0.013505654;8.42336568;-0.013295304;7.108326029;13820935.95;0;;;;0;
223.3098377;-60.3149413;-58.19176485;-0.013496991;8.456529093;-0.013291998;7.120981708;13820935.95;0;;;;0;
224.9163833;-60.68790485;-58.5591353;-0.01348843;8.489539678;-0.013288729;7.133585951;13820935.95;0;;;;0;
226.5229289;-61.06063313;-58.92641585;-0.013479967;8.522408537;-0.013285492;7.146158203;13820935.95;0;;;;0;
228.1294745;-61.43312875;-59.29360728;-0.013471597;8.555147336;-0.013282281;7.15871831;13820935.95;0;;;;0;
229.7360201;-61.80539425;-59.66071025;-0.013463315;8.587768324;-0.01327909;7.171286521;13820935.95;0;;;;0;
231.3425657;-62.17743199;-60.02772524;-0.013455118;8.620284347;-0.013275914;7.183883498;13820935.95;0;;;;0;
232.9491113;-62.54924425;-60.39465258;-0.013447;8.652708868;-0.013272748;7.196530321;13820935.95;0;;;;0;
234.5556569;-62.92083317;-60.76149248;-0.013438957;8.685055981;-0.013269586;7.209248489;13820935.95;0;;;;0;
236.1622025;-63.29220075;-61.12824495;-0.013430985;8.717340425;-0.013266422;7.22205993;13820935.95;0;;;;0;
237.7687481;-63.66334888;-61.4949099;-0.013423078;8.7495776;-0.013263252;7.234987003;13820935.95;0;;;;0;
239.3752937;-64.0342793;-61.86148704;-0.013415232;8.781783579;-0.013260069;7.248052507;13820935.95;0;;;;0;
240.9818393;-64.40499363;-62.22797597;-0.013407442;8.813975121;-0.013256868;7.26127968;13820935.95;0;;;;0;
242.5883849;-64.77549335;-62.59437611;-0.013399703;8.846169685;-0.013253644;7.274692212;13820935.95;0;;;;0;
244.1949305;-65.1457798;-62.96068675;-0.01339201;8.878385438;-0.013250391;7.288314245;13820935.95;0;;;;0;
245.8014761;-65.51585418;-63.32690701;-0.013384358;8.910641268;-0.013247104;7.302170378;13820935.95;0;;;;0;
247.4080217;-65.88571756;-63.69303588;-0.013376742;8.942956796;-0.013243777;7.316285675;13820935.95;0;;;;0;
249.0145673;-66.25537084;-64.05907218;-0.013369156;8.97535238;-0.013240405;7.330685669;13820935.95;0;;;;0;
250.6211129;-66.6248148;-64.4250146;-0.013361596;9.007849128;-0.013236983;7.345396367;13820935.95;0;;;;0;
