Dados da simulação 
 -------------------------------------------------------------------------------------
Number of Components = 2
Component 1 = 35
Component 2 = 40
Equation of state = 1
Mixing Rule = 1
Defined Temperature = 308 K
kij = 0
-------------------------------------------------------------------------------------------------------------

Cálculos 
 ----------------------------------------------------------------------------------------------------------
x1 ;y1 ;T ;P;Vl;Vv;sumKx;counter;u_liquid1;u_vapor1;X1l;X1v;Zl;Zv;phi_liquid_1;phi_liquid_2;phi_vapor_1;phi_vapor_2;Vl_obj;Vv_obj;dP/dVl;dP/dVv;G_excess
0.3401;0.847762;308;7.99749;0;0;1.00004;2;0;0;0;0;0.000406216;0.996467;2.48489;0.229449;0.996871;0.994302;0;0;0;0;-1.54231
0.3451;0.850566;308;8.08709;0;0;1.00004;2;0;0;0;0;0.000410041;0.996435;2.45689;0.22693;0.996835;0.994241;0;0;0;0;-1.52624
0.3501;0.853264;308;8.17635;0;0;1;2;0;0;0;0;0.00041387;0.996403;2.4294;0.224473;0.9968;0.994179;0;0;0;0;-1.51124
0.3551;0.85598;308;8.26589;0;0;1.00004;2;0;0;0;0;0.000417642;0.99637;2.40273;0.222075;0.996765;0.994118;0;0;0;0;-1.49425
0.3601;0.858604;308;8.3554;0;0;1.00004;2;0;0;0;0;0.000421414;0.996338;2.37655;0.21972;0.996729;0.994057;0;0;0;0;-1.47833
0.3651;0.861171;308;8.44489;0;0;1.00004;2;0;0;0;0;0.000425168;0.996306;2.35093;0.217416;0.996694;0.993995;0;0;0;0;-1.46244
0.3701;0.863685;308;8.53434;0;0;1.00004;2;0;0;0;0;0.000428904;0.996273;2.32586;0.215162;0.996659;0.993934;0;0;0;0;-1.4466
0.3751;0.866146;308;8.62377;0;0;1.00004;2;0;0;0;0;0.000432623;0.996241;2.30131;0.212955;0.996623;0.993873;0;0;0;0;-1.43081
0.3801;0.868557;308;8.71317;0;0;1.00004;2;0;0;0;0;0.000436324;0.996209;2.27728;0.210795;0.996588;0.993811;0;0;0;0;-1.41507
0.3851;0.870918;308;8.80254;0;0;1.00004;2;0;0;0;0;0.000440007;0.996176;2.25374;0.208681;0.996553;0.99375;0;0;0;0;-1.39937
0.3901;0.873231;308;8.89188;0;0;1.00004;2;0;0;0;0;0.000443673;0.996144;2.23068;0.206609;0.996517;0.993689;0;0;0;0;-1.38372
0.3951;0.875498;308;8.9812;0;0;1.00004;2;0;0;0;0;0.000447321;0.996112;2.20809;0.20458;0.996482;0.993628;0;0;0;0;-1.36811
0.4001;0.87772;308;9.07049;0;0;1.00004;2;0;0;0;0;0.000450951;0.996079;2.18596;0.202593;0.996447;0.993567;0;0;0;0;-1.35255
0.4051;0.879898;308;9.15974;0;0;1.00004;2;0;0;0;0;0.000454564;0.996047;2.16426;0.200645;0.996411;0.993505;0;0;0;0;-1.33704
0.4101;0.882034;308;9.24898;0;0;1.00004;2;0;0;0;0;0.000458159;0.996015;2.14298;0.198735;0.996376;0.993444;0;0;0;0;-1.32158
0.4151;0.884129;308;9.33818;0;0;1.00004;2;0;0;0;0;0.000461736;0.995982;2.12213;0.196864;0.996341;0.993383;0;0;0;0;-1.30617
0.4201;0.886184;308;9.42735;0;0;1.00004;2;0;0;0;0;0.000465296;0.99595;2.10167;0.195028;0.996306;0.993322;0;0;0;0;-1.2908
0.4251;0.888201;308;9.5165;0;0;1.00004;2;0;0;0;0;0.000468839;0.995918;2.0816;0.193229;0.996271;0.993261;0;0;0;0;-1.27548
0.4301;0.89018;308;9.60562;0;0;1.00004;2;0;0;0;0;0.000472363;0.995885;2.06191;0.191463;0.996235;0.9932;0;0;0;0;-1.26022
0.4351;0.892122;308;9.69472;0;0;1.00004;2;0;0;0;0;0.000475871;0.995853;2.04259;0.189731;0.9962;0.993139;0;0;0;0;-1.245
0.4401;0.894028;308;9.78378;0;0;1.00004;2;0;0;0;0;0.00047936;0.995821;2.02363;0.188032;0.996165;0.993078;0;0;0;0;-1.22983
0.4451;0.895901;308;9.87282;0;0;1.00004;2;0;0;0;0;0.000482833;0.995788;2.00502;0.186364;0.99613;0.993017;0;0;0;0;-1.21471
0.4501;0.897739;308;9.96184;0;0;1.00004;2;0;0;0;0;0.000486287;0.995756;1.98674;0.184728;0.996095;0.992956;0;0;0;0;-1.19964
0.4551;0.899545;308;10.0508;0;0;1.00004;2;0;0;0;0;0.000489724;0.995724;1.9688;0.183121;0.99606;0.992895;0;0;0;0;-1.18462
0.4601;0.901319;308;10.1398;0;0;1.00004;2;0;0;0;0;0.000493144;0.995692;1.95118;0.181543;0.996025;0.992835;0;0;0;0;-1.16965
0.4651;0.903062;308;10.2287;0;0;1.00004;2;0;0;0;0;0.000496546;0.995659;1.93386;0.179994;0.99599;0.992774;0;0;0;0;-1.15473
0.4701;0.904775;308;10.3176;0;0;1.00004;2;0;0;0;0;0.000499931;0.995627;1.91686;0.178472;0.995955;0.992713;0;0;0;0;-1.13986
0.4751;0.906458;308;10.4065;0;0;1.00004;2;0;0;0;0;0.000503298;0.995595;1.90015;0.176977;0.995919;0.992652;0;0;0;0;-1.12504
0.4801;0.908113;308;10.4954;0;0;1.00004;2;0;0;0;0;0.000506648;0.995563;1.88372;0.175509;0.995884;0.992591;0;0;0;0;-1.11028
