Density;f;f0;u;P;u_0;P_0;T;rhoc;6088;;;;
2586.031358;69.26829954;70.07167847;0.02897548;5.663201124;0.029411253;5.986745309;513.0075;;;;0.57522481;-0.552994341;-4.963625746
2606.39381;69.85837108;70.67062272;0.028981321;5.678364799;0.029417018;6.001710291;513.0075;;;;0.571880123;-0.558825884;-4.992690528
2626.756261;70.44856001;71.26968236;0.02898701;5.693250643;0.029422588;6.016285447;513.0075;;;;0.568535437;-0.564691634;-5.021836822
2647.118713;71.03886327;71.86885349;0.028992551;5.707862204;0.029427969;6.03047323;513.0075;;;;0.56519075;-0.570591994;-5.051065945
2667.481165;71.62927788;72.46813228;0.028997948;5.722203005;0.029433163;6.044276091;513.0075;;;;0.561846064;-0.576527375;-5.080379199
2687.843616;72.21980095;73.06751498;0.029003204;5.736276545;0.029438175;6.057696476;513.0075;;;;0.558501377;-0.582498195;-5.109777871
2708.206068;72.81042964;73.66699791;0.029008323;5.750086296;0.029443009;6.070736831;513.0075;;;;0.555156691;-0.58850488;-5.139263234
2728.56852;73.40116118;74.26657747;0.029013307;5.763635707;0.029447667;6.083399596;513.0075;;;;0.551812004;-0.594547863;-5.168836544
2748.930971;73.99199288;74.86625013;0.029018161;5.776928201;0.029452154;6.095687208;513.0075;;;;0.548467317;-0.600627586;-5.198499044
2769.293423;74.58292211;75.46601244;0.029022887;5.789967179;0.029456472;6.107602104;513.0075;;;;0.545122631;-0.606744499;-5.228251961
2789.655875;75.17394629;76.06586099;0.029027488;5.802756014;0.029460626;6.119146715;513.0075;;;;0.541777944;-0.612899058;-5.258096505
2810.018326;75.76506292;76.66579247;0.029031968;5.81529806;0.029464618;6.130323471;513.0075;;;;0.538433258;-0.619091731;-5.288033874
2830.380778;76.35626956;77.26580363;0.029036329;5.827596644;0.029468451;6.141134798;513.0075;;;;0.535088571;-0.625322992;-5.318065245
2850.743229;76.94756381;77.86589125;0.029040574;5.839655069;0.02947213;6.151583122;513.0075;;;;0.531743885;-0.631593325;-5.348191785
2871.105681;77.53894335;78.46605223;0.029044706;5.851476619;0.029475656;6.161670863;513.0075;;;;0.528399198;-0.637903224;-5.37841464
2891.468133;78.1304059;79.06628348;0.029048728;5.863064551;0.029479033;6.17140044;513.0075;;;;0.525054512;-0.64425319;-5.408734943
2911.830584;78.72194924;79.66658199;0.029052642;5.8744221;0.029482263;6.18077427;513.0075;;;;0.521709825;-0.650643736;-5.439153809
2932.193036;79.31357122;80.26694483;0.029056451;5.88555248;0.029485351;6.189794768;513.0075;;;;0.518365139;-0.657075384;-5.469672338
