Density;f;f0
5.58273;-228.679;-228.679
5.60034;-227.352;-227.352
5.61795;-225.971;-225.971
5.63556;-224.537;-224.537
5.65317;-223.047;-223.047
5.67077;-221.501;-221.501
5.68838;-219.896;-219.896
5.70599;-218.231;-218.231
5.7236;-216.504;-216.504
5.74121;-214.715;-214.715
5.75881;-212.86;-212.86
5.77642;-210.938;-210.938
5.79403;-208.947;-208.947
5.81164;-206.885;-206.885
5.82925;-204.75;-204.75
5.84685;-202.54;-202.54
5.86446;-200.253;-200.253
5.88207;-197.886;-197.886
5.89968;-195.437;-195.437
5.91728;-192.903;-192.903
5.93489;-190.281;-190.281
5.9525;-187.569;-187.569
5.97011;-184.764;-184.764
5.98772;-181.862;-181.862
6.00532;-178.861;-178.861
6.02293;-175.756;-175.756
6.04054;-172.545;-172.545
6.05815;-169.223;-169.223
6.07576;-165.787;-165.787
6.09336;-162.233;-162.233
6.11097;-158.555;-158.555
6.12858;-154.75;-154.75
6.14619;-150.811;-150.811
6.1638;-146.735;-146.735
6.1814;-142.516;-142.516
6.19901;-138.147;-138.147
6.21662;-133.623;-133.623
6.23423;-128.937;-128.937
6.25184;-124.082;-124.082
6.26944;-119.049;-119.049
6.28705;-113.833;-113.833
6.30466;-108.422;-108.422
6.32227;-102.81;-102.81
6.33988;-96.9848;-96.9848
6.35748;-90.9369;-90.9369
6.37509;-84.6546;-84.6546
6.3927;-78.1256;-78.1256
6.41031;-71.3367;-71.3367
6.42792;-64.2734;-64.2734
6.44552;-56.92;-56.92
6.46313;-49.2595;-49.2595
6.48074;-41.2734;-41.2734
6.49835;-32.9413;-32.9413
6.51596;-24.2408;-24.2408
6.53356;-15.1475;-15.1475
6.55117;-5.63419;-5.63419
6.56878;4.32916;4.32916
6.58639;14.776;14.776
6.604;25.7435;25.7435
6.6216;37.2737;37.2737
6.63921;49.4135;49.4135
6.65682;62.2165;62.2165
6.67443;75.7433;75.7433
6.69204;90.0636;90.0636
6.70964;105.258;105.258
6.72725;121.418;121.418
6.74486;138.655;138.655
6.76247;157.097;157.097
6.78008;176.898;176.898
6.79768;198.243;198.243
6.81529;221.359;221.359
6.8329;246.526;246.526
6.85051;274.101;274.101
6.86812;304.538;304.538
6.88572;338.438;338.438
6.90333;376.616;376.616
6.92094;420.213;420.213
6.93855;470.906;470.906
6.95616;531.298;531.298
6.97376;605.769;605.769
6.99137;702.585;702.585
7.00898;840.53;840.53
7.02659;1081.34;1081.34
